Original.pop	affy.id	sample.id	Pop3	Pop4	Pop2	Pop1
Puerto Rico	a550962-4368120-060520-253_G01.CEL	15918	0	0	1	0
Belize	a550962-4368120-060520-253_G21.CEL	P199xC182_4	0	0	0	1
Florida	a550962-4368120-060520-253_I23.CEL	6298	0.8006	0.0362	0.076	0.0873
Florida	a550962-4368120-060520-253_K23.CEL	6299	0.8669	0	0.1316	0.0015
Florida	a550962-4368120-060520-253_O23.CEL	6303	0.0516	0	0.2344	0.714
Florida	a550962-4368120-060520-252_C07.CEL	4917	0.9237	0.0109	0.0044	0.061
Florida	a550962-4368120-060520-252_C09.CEL	4918	0.8629	0	0.0226	0.1145
Florida	a550962-4368120-060520-252_E01.CEL	9395	0.8539	0.0154	0.0408	0.0899
Florida	a550962-4368120-060520-252_E05.CEL	9592	0.863	0.0255	0.0843	0.0271
Florida	a550962-4368120-060520-252_E07.CEL	9609	0.8738	0	0.0748	0.0515
Puerto Rico	a550962-4368120-060520-252_E09.CEL	9749	0	0	1	0
Puerto Rico	a550962-4368120-060520-252_E11.CEL	9759	0	0	1	0
USVI	a550962-4368120-060520-252_G11.CEL	13756	0	0	1	0
Curacao	a550962-4368120-060520-252_I05.CEL	13923	0.0528	0.4173	0.4638	0.0661
Curacao	a550962-4368120-060520-252_I13.CEL	13935	0.0532	0.3132	0.5725	0.0611
Belize	a550962-4368120-060520-252_I19.CEL	15364	0	0	0	1
Belize	a550962-4368120-060520-252_I21.CEL	15371	0.0549	0.0282	0.2254	0.6915
Belize	a550962-4368120-060520-252_I23.CEL	15372	0.1544	0.0116	0.3922	0.4418
Belize	a550962-4368120-060520-252_K03.CEL	15375	0	0	0	1
Belize	a550962-4368120-060520-252_K05.CEL	15377	0.0857	0	0.2065	0.7079
Belize	a550962-4368120-060520-252_K07.CEL	15378	0	0	0.2164	0.7835
Belize	a550962-4368120-060520-252_K13.CEL	15626	0.196	0.0259	0.2198	0.5582
Belize	a550962-4368120-060520-252_M09.CEL	15616	0	0	0.0091	0.9909
Belize	a550962-4368120-060520-252_O01.CEL	15719	0	0	0	1
Cuba	a550962-4368120-060520-252_O21.CEL	15729	0.1569	0.173	0.4953	0.1748
Florida	a550962-4368120-060520-256_A09.CEL	4936	0.0877	0	0.383	0.5293
Florida	a550962-4368120-060520-256_A11.CEL	4955	0.823	0	0	0.177
Florida	a550962-4368120-060520-256_A13.CEL	6649	1	0	0	0
Puerto Rico	a550962-4368120-060520-256_A15.CEL	9719	0	0	1	0
USVI	a550962-4368120-060520-256_A19.CEL	13716	0	0	1	0
Florida	a550962-4368120-060520-256_A23.CEL	4915	0.8835	0	0.0658	0.0507
Florida	a550962-4368120-060520-256_C07.CEL	4909	1	0	0	0
Florida	a550962-4368120-060520-256_C09.CEL	4943	0.9641	0	0	0.0359
Florida	a550962-4368120-060520-256_C11.CEL	4956	0.8836	0	0.0798	0.0365
Florida	a550962-4368120-060520-256_C13.CEL	6653	0.9522	0	0.0478	0
Florida	a550962-4368120-060520-256_E07.CEL	4911	1	0	0	0
Florida	a550962-4368120-060520-256_E09.CEL	4944	0.9503	0	0	0.0497
Florida	a550962-4368120-060520-256_E11.CEL	4958	0.9779	0	0	0.0221
Florida	a550962-4368120-060520-256_E23.CEL	SIBM13_3	1	0	0	0
USVI	a550962-4368120-060520-256_G05.CEL	3844	0	0	1	0
Florida	a550962-4368120-060520-256_G07.CEL	4913	1	0	0	0
Florida	a550962-4368120-060520-256_G09.CEL	4945	0.9494	0	0.0202	0.0304
Florida	a550962-4368120-060520-256_G11.CEL	4963	1	0	0	0
Florida	a550962-4368120-060520-256_G23.CEL	SIBM13_4	1	0	0	0
Florida	a550962-4368120-060520-256_I03.CEL	1372_Symbiont	0.1883	0	0.0994	0.7123
Florida	a550962-4368120-060520-256_I07.CEL	4914	0.906	0	0.0388	0.0551
