Original.pop	affy.id	sample.id	Pop3	Pop2	Pop1
Curacao	a550962-4393310-052921-062_A01.CEL	16065(441)	0.1534	0.8466	0
Puerto Rico	a550962-4368120-060520-253_A01.CEL	15915	0.0257	0.9743	0
Belize	a550962-4368120-060520-253_A03.CEL	15629	0.0056	0.037	0.9574
Puerto Rico	a550962-4368120-060520-253_A05.CEL	15931	0	1	0
Puerto Rico	a550962-4368120-060520-253_A07.CEL	15939	0	1	0
Puerto Rico	a550962-4368120-060520-253_A11.CEL	15857	0	1	0
Puerto Rico	a550962-4368120-060520-253_A15.CEL	15873	0.0807	0.9166	0.0027
Puerto Rico	a550962-4368120-060520-253_A17.CEL	15884	0.0048	0.9952	0
Puerto Rico	a550962-4368120-060520-253_A19.CEL	15895	0.002	0.998	0
Puerto Rico	a550962-4368120-060520-253_C07.CEL	15940	0.0458	0.9542	0
Puerto Rico	a550962-4368120-060520-253_C09.CEL	15948	0.0499	0.8928	0.0574
Puerto Rico	a550962-4368120-060520-253_C11.CEL	15858	0	1	0
Puerto Rico	a550962-4368120-060520-253_C15.CEL	15874	0.1091	0.8909	0
Puerto Rico	a550962-4368120-060520-253_C17.CEL	15885	0	1	0
Puerto Rico	a550962-4368120-060520-253_C19.CEL	15900	0	1	0
Puerto Rico	a550962-4368120-060520-253_E01.CEL	15917	0	1	0
Belize	a550962-4368120-060520-253_E07.CEL	15630	0	0.0903	0.9097
Puerto Rico	a550962-4368120-060520-253_E09.CEL	15949	0	1	0
Puerto Rico	a550962-4368120-060520-253_E13.CEL	15867	0	1	0
Puerto Rico	a550962-4368120-060520-253_E17.CEL	15887	0	0.9828	0.0172
Puerto Rico	a550962-4368120-060520-253_G09.CEL	15950	0.051	0.949	0
Puerto Rico	a550962-4368120-060520-253_G13.CEL	15868	0	1	0
Puerto Rico	a550962-4368120-060520-253_G17.CEL	15888	0	1	0
Puerto Rico	a550962-4368120-060520-253_G19.CEL	15905	0	1	0
Belize	a550962-4368120-060520-253_I01.CEL	15627	0	0.0351	0.9649
Puerto Rico	a550962-4368120-060520-253_I05.CEL	15935	0	1	0
Puerto Rico	a550962-4368120-060520-253_I13.CEL	15869	0.0057	0.9943	0
Puerto Rico	a550962-4368120-060520-253_I15.CEL	15877	0	1	0
Puerto Rico	a550962-4368120-060520-253_I17.CEL	15891	0	1	0
Puerto Rico	a550962-4368120-060520-253_K05.CEL	15936	0.0074	0.9566	0.036
Puerto Rico	a550962-4368120-060520-253_K07.CEL	15944	0	1	0
Puerto Rico	a550962-4368120-060520-253_K13.CEL	15870	0	0.9864	0.0135
Puerto Rico	a550962-4368120-060520-253_M05.CEL	15937	0.0337	0.9663	0
Puerto Rico	a550962-4368120-060520-253_M07.CEL	15945	0.0191	0.9808	0
Puerto Rico	a550962-4368120-060520-253_M09.CEL	15953	0.0653	0.8733	0.0615
Puerto Rico	a550962-4368120-060520-253_M13.CEL	15871	0	0.9831	0.0169
Puerto Rico	a550962-4368120-060520-253_M17.CEL	15893	0	0.9774	0.0226
Puerto Rico	a550962-4368120-060520-253_O05.CEL	15938	0.032	0.9453	0.0227
Puerto Rico	a550962-4368120-060520-253_O07.CEL	15946	0	1	0
Puerto Rico	a550962-4368120-060520-253_O09.CEL	15954	0	1	0
Puerto Rico	a550962-4368120-060520-253_O13.CEL	15872	0	1	0
Puerto Rico	a550962-4368120-060520-253_O17.CEL	15894	0	1	0
Florida	a550962-4368120-060520-252_A17.CEL	1151	0	0.4487	0.5513
Florida	a550962-4368120-060520-252_A23.CEL	2905	0.0581	0.359	0.5829
Puerto Rico	a550962-4368120-060520-252_C11.CEL	5130	0.0473	0.8593	0.0934
Florida	a550962-4368120-060520-252_C13.CEL	6898	0.0625	0.2646	0.673
Florida	a550962-4368120-060520-252_E13.CEL	11954	0	0	1
Florida	a550962-4368120-060520-252_E15.CEL	11956	0.0957	0.3128	0.5916
Florida	a550962-4368120-060520-252_E17.CEL	11955	0	0.0788	0.9212
Florida	a550962-4368120-060520-252_E19.CEL	11957	0	0.0981	0.9019
Florida	a550962-4368120-060520-252_E21.CEL	11958	0	0	1
Florida	a550962-4368120-060520-252_E23.CEL	11962	0	0.2686	0.7314
Florida	a550962-4368120-060520-252_G01.CEL	11963	0	0.0428	0.9572
USVI	a550962-4368120-060520-252_G05.CEL	13694	0.0949	0.8525	0.0526
USVI	a550962-4368120-060520-252_G07.CEL	13710	0.0519	0.9226	0.0255
Belize	a550962-4368120-060520-252_G15.CEL	13805	0	0.0349	0.965
Belize	a550962-4368120-060520-252_G17.CEL	13809	0	0	1
Belize	a550962-4368120-060520-252_G19.CEL	13811	0	0	1
Belize	a550962-4368120-060520-252_G21.CEL	13835	0	0.0113	0.9886
Curacao	a550962-4368120-060520-252_I01.CEL	13909	0.2183	0.6224	0.1593
Curacao	a550962-4368120-060520-252_I03.CEL	13921	0.1783	0.7805	0.0411
