1	a550962-4393310-052921-062_A01.CEL	16065(441)	Curacao	12.064193	-68.853068	Spanish Waters	Curacao	Spanish Waters	2
2	a550962-4368120-060520-253_A01.CEL	15915	Puerto Rico	18.004669	-67.33082	Margarita West Nursery	Puerto Rico	Margarita West Nursery	2
3	a550962-4368120-060520-253_A03.CEL	15629	Belize	16.80145	-88.0827	SouthCarrieBowCaye	Belize	SouthCarrieBowCaye	1
4	a550962-4368120-060520-253_A05.CEL	15931	Puerto Rico	18.352618	-65.573963	Palomino Nursery	Puerto Rico	Palomino Nursery	2
5	a550962-4368120-060520-253_A07.CEL	15939	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
6	a550962-4368120-060520-253_A11.CEL	15857	Puerto Rico	17.938	-66.8713	Cayo Coral East Nursery	Puerto Rico	Cayo Coral East Nursery	2
7	a550962-4368120-060520-253_A15.CEL	15873	Puerto Rico	17.939048	-66.89222	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
8	a550962-4368120-060520-253_A17.CEL	15884	Puerto Rico	17.939048	-66.89222	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
9	a550962-4368120-060520-253_A19.CEL	15895	Puerto Rico	17.9243	-67.0999	Margarita East Nursery	Puerto Rico	Margarita East Nursery	2
10	a550962-4368120-060520-253_C07.CEL	15940	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
11	a550962-4368120-060520-253_C09.CEL	15948	Puerto Rico	17.94407	-67.07786	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
12	a550962-4368120-060520-253_C11.CEL	15858	Puerto Rico	17.938	-66.8713	Cayo Coral East Nursery	Puerto Rico	Cayo Coral East Nursery	2
13	a550962-4368120-060520-253_C15.CEL	15874	Puerto Rico	18.004669	-67.33082	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
14	a550962-4368120-060520-253_C17.CEL	15885	Puerto Rico	17.939048	-66.89222	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
15	a550962-4368120-060520-253_C19.CEL	15900	Puerto Rico	17.9243	-67.0999	Margarita East Nursery	Puerto Rico	Margarita East Nursery	2
16	a550962-4368120-060520-253_E01.CEL	15917	Puerto Rico	18.004669	-67.33082	Margarita West Nursery	Puerto Rico	Margarita West Nursery	2
17	a550962-4368120-060520-253_E07.CEL	15630	Belize	16.80145	-88.0827	SouthCarrieBowCaye	Belize	SouthCarrieBowCaye	1
18	a550962-4368120-060520-253_E09.CEL	15949	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
19	a550962-4368120-060520-253_E13.CEL	15867	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
20	a550962-4368120-060520-253_E17.CEL	15887	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
21	a550962-4368120-060520-253_G09.CEL	15950	Puerto Rico	17.94407	-67.07786	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
22	a550962-4368120-060520-253_G13.CEL	15868	Puerto Rico	18.004669	-67.33082	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
23	a550962-4368120-060520-253_G17.CEL	15888	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
